stemming;anjuran;larangan;informasi
['baiat', 'kalian', 'kepada', 'sekutu', 'allah', 'apa', 'curi', 'zina', 'bunuh', 'anakanak', 'kalian', 'buat', 'bohong', 'kalian', 'adaadakan', 'tangan', 'kaki', 'kalian', 'maksiat', 'perkara', 'maruf', 'barangsiapa', 'antara', 'kalian', 'penuh', 'pahala', 'allah', 'barangsiapa', 'langgar', 'sebut', 'lalu', 'allah', 'hukum', 'dunia', 'kafarat', 'bagi', 'barangsiapa', 'langgar', 'halhal', 'sebut', 'kemudian', 'allah', 'tutup', 'hukum', 'dunia', 'urus', 'allah', 'mau', 'maaf', 'siksa', 'baiat', 'beliau', 'perkaraperkara', 'sebut'];1;1;0
['shalat', 'lima', 'kali', 'hari', 'malam', 'kata', 'orang', 'selain', 'buat', 'nabi', 'jawab', 'thathawu', 'sunnat', 'rasulullah', 'kata', 'puasa', 'ramadlan', 'orang', 'tanya', 'selain', 'buat', 'rasulullah', 'jawab', 'thathawu', 'sunnat', 'lalu', 'rasulullah', 'sebut', 'zakat', 'kata', 'orang', 'selain', 'buat', 'rasulullah', 'jawab', 'thathawu', 'sunnat', 'thalhah', 'bin', 'ubaidullah', 'kata', 'lalu', 'orang', 'pergi', 'kata', 'allah', 'aku', 'tambah', 'kurang', 'rasulullah', 'sabda', 'untung', 'jujur', 'tepat'];0;0;1
['keluar', 'neraka', 'siapa', 'kata', 'ilah', 'allah', 'hati', 'baik', 'besar', 'jemawut', 'keluar', 'neraka', 'siapa', 'kata', 'ilah', 'allah', 'hati', 'baik', 'besar', 'biji', 'gandum', 'keluar', 'neraka', 'siapa', 'kata', 'ilah', 'allah', 'hati', 'baik', 'besar', 'biji', 'sawi', 'abu', 'abdullah', 'kata', 'aban', 'kata', 'cerita', 'qotadah', 'cerita', 'anas', 'nabi', 'beliau', 'sabda', 'kata', 'iman', 'hadits', 'ganti', 'kata', 'baik'];1;0;1
['allah', 'jamin', 'orang', 'keluar', 'perang', 'jalan', 'dorong', 'keluar', 'iman', 'kepada', 'benar', 'rasul', 'kembali', 'oleh', 'pahala', 'ghonimah', 'masuk', 'surga', 'kalau', 'anda', 'berat', 'umat', 'aku', 'duduk', 'tinggal', 'diam', 'belakang', 'sariyyah', 'pasu', 'khusus', 'aku', 'sekali', 'bila', 'aku', 'bunuh', 'jalan', 'allah', 'lalu', 'aku', 'hidup', 'kemudian', 'bunuh', 'lalu', 'aku', 'hidup', 'kemudian', 'bunuh'];0;0;1
['kamu', 'hina', 'ibu', 'sungguh', 'kamu', 'milik', 'sifat', 'jahiliyyah', 'saudarasaudara', 'kalian', 'tanggung', 'kalian', 'allah', 'jadi', 'bawah', 'tangan', 'kalian', 'siapa', 'saudara', 'ada', 'bawah', 'tangan', 'tanggung', 'makan', 'ilah', 'makan', 'makan', 'bila', 'pakai', 'ilah', 'pakai', 'jangan', 'kalian', 'beban', 'luar', 'batas', 'mampu', 'kalian', 'beban', 'bantu'];1;1;0
['iring', 'jenazah', 'muslim', 'iman', 'harap', 'balas', 'selalu', 'sama', 'jenazah', 'sebut', 'dishalatkan', 'selesai', 'kubur', 'pulang', 'bawa', 'qiroth', 'qiroth', 'tara', 'gunung', 'uhud', 'barangsiapa', 'menyolatkannya', 'pulang', 'kubur', 'pulang', 'bawa', 'satu', 'qiroth', 'hadits', 'riwayat', 'utsman', 'al', 'muadzin', 'kata', 'cerita', 'auf', 'muhammad', 'abu', 'hurairah', 'nabi'];0;0;1
['keluar', 'neraka', 'siapa', 'dalam', 'hati', 'iman', 'besar', 'biji', 'sawi', 'keluar', 'neraka', 'kondisi', 'hitam', 'gosong', 'kemudian', 'masuk', 'dalam', 'sungai', 'hidup', 'hidup', 'malik', 'ragu', 'lalu', 'tumbuh', 'semi', 'tumbuh', 'benih', 'tepi', 'alir', 'sungai', 'tidak', 'kamu', 'perhati', 'bagaimana', 'keluar', 'warna', 'kekuninganberkata', 'wuhaib', 'cerita', 'amru', 'hidup', 'kata', 'sedikit', 'baik'];0;0;1
['heraqlius', 'kata', 'kepada', 'aku', 'tanya', 'kepada', 'jumlah', 'tambah', 'kurang', 'kamu', 'tutur', 'tambah', 'memang', 'begitu', 'iman', 'terus', 'kembang', 'hingga', 'sempurna', 'aku', 'tanya', 'kepada', 'orang', 'murtad', 'dongkol', 'agama', 'kemudian', 'kamu', 'tutur', 'iman', 'bila', 'tumbuh', 'semi', 'hati', 'dongkol', 'kepada'];0;0;1
['aku', 'lihat', 'neraka', 'nyata', 'banyak', 'hun', 'wanita', 'sering', 'ingkar', 'tanya', 'ingkar', 'allah', 'beliau', 'sabda', 'ingkar', 'beri', 'suami', 'ingkar', 'baik', 'anda', 'kamu', 'buat', 'baik', 'orang', 'panjang', 'masa', 'lalu', 'lihat', 'satu', 'jelek', 'dari', 'kata', 'aku', 'pernah', 'lihat', 'baik', 'sedikit', 'dari'];0;0;1
['orang', 'muslim', 'orang', 'kaum', 'muslimin', 'selamat', 'lisan', 'tangan', 'orang', 'muhajir', 'orang', 'tinggal', 'apa', 'larang', 'allah', 'abu', 'abdullah', 'kata', 'abu', 'muawiyyah', 'kata', 'cerita', 'daud', 'anak', 'ibnu', 'hind', 'amir', 'kata', 'aku', 'dengar', 'abdullah', 'maksud', 'ibnu', 'amru', 'nabi', 'kata', 'abdul', 'alaa', 'daud', 'amir', 'abdullah', 'nabi'];0;1;1
['empat', 'bila', 'orang', 'orang', 'munafiq', 'tulen', 'barangsiapa', 'dapat', 'diri', 'satu', 'sifat', 'empat', 'sebut', 'diri', 'dapat', 'sifat', 'nifaq', 'hingga', 'tinggal', 'beri', 'amanat', 'khianat', 'bicara', 'dusta', 'janji', 'ingkar', 'seteru', 'curang', 'hadits', 'riwayat', 'syubah', 'al', 'amasy'];0;0;1
['aku', 'tidur', 'aku', 'mimpi', 'lihat', 'orangorang', 'hadap', 'kepada', 'kena', 'baju', 'antara', 'buah', 'dada', 'kurang', 'hadap', 'kepada', 'umar', 'bin', 'al', 'khaththab', 'kena', 'baju', 'seret', 'sahabat', 'tanya', 'apa', 'maksud', 'engkau', 'rasulullah', 'beliau', 'jawab', 'addin', 'agama'];0;0;1
['semua', 'buat', 'gantung', 'niat', 'balas', 'tiaptiap', 'orang', 'gantung', 'apa', 'niat', 'barangsiapa', 'niat', 'hijrah', 'allah', 'rasul', 'hijrah', 'allah', 'rasul', 'barangsiapa', 'niat', 'hijrah', 'dunia', 'gapai', 'orang', 'perempuan', 'nikah', 'hijrah', 'apa', 'niat'];0;0;1
['agama', 'mudah', 'tidak', 'orang', 'sulit', 'agama', 'kalah', 'makin', 'berat', 'sulit', 'laku', 'lurus', 'kalian', 'dekat', 'benar', 'ilah', 'kabar', 'gembira', 'minta', 'tolong', 'al', 'ghadwah', 'berangkat', 'awal', 'pagi', 'arruhah', 'berangkat', 'zhuhur', 'adduljah', 'berangkat', 'waktu', 'malam'];1;0;1
['tiga', 'perkara', 'apabila', 'diri', 'orang', 'dapat', 'manis', 'iman', 'allah', 'rasul', 'lebih', 'cinta', 'dua', 'siapa', 'bila', 'cinta', 'orang', 'cinta', 'orang', 'allah', 'azza', 'wajalla', 'siapa', 'benci', 'kufur', 'benci', 'bila', 'lempar', 'neraka'];0;0;1
['aku', 'perintah', 'rang', 'manusia', 'hingga', 'saksi', 'ilah', 'allah', 'sungguh', 'muhammad', 'utus', 'allah', 'tegak', 'shalat', 'tunai', 'zakat', 'laku', 'pelihara', 'darah', 'harta', 'dari', 'haq', 'islam', 'hitung', 'allah'];1;0;1
['orang', 'muslim', 'saling', 'temu', 'kelah', 'hunus', 'pedang', 'masingmasing', 'bunuh', 'bunuh', 'masuk', 'neraka', 'aku', 'tanya', 'wahai', 'rasulullah', 'bunuh', 'bagaimana', 'bunuh', 'nabi', 'jawab', 'belum', 'sangat', 'bunuh', 'teman'];0;0;1
['tiga', 'perkara', 'apabila', 'diri', 'orang', 'dapat', 'manis', 'iman', 'jadi', 'allah', 'rasul', 'lebih', 'cinta', 'dua', 'cinta', 'orang', 'cinta', 'allah', 'benci', 'kufur', 'benci', 'bila', 'lempar', 'neraka'];0;0;1
['turun', 'ayat', 'orangorang', 'iman', 'campur', 'aduk', 'iman', 'kezhaliman', 'sahabat', 'rasulullah', 'tanya', 'siapa', 'antara', 'buat', 'zhalim', 'allah', 'azza', 'wajalla', 'turun', 'firman', 'sungguh', 'syirik', 'kezhaliman', 'besar', 'qs', 'luqman'];0;0;1
['aku', 'beri', 'orang', 'sebut', 'aku', 'lebih', 'suka', 'beri', 'lain', 'beri', 'aku', 'takut', 'kalau', 'allah', 'campak', 'neraka', 'yunus', 'shalih', 'mamar', 'keponakan', 'az', 'zuhri', 'riwayat', 'az', 'zuhri'];0;0;1
['aku', 'datang', 'jelas', 'lailatul', 'qodar', 'kalian', 'fulan', 'fulan', 'saling', 'debat', 'akhir', 'angkat', 'lailatul', 'qodar', 'moga', 'jadi', 'lebih', 'baik', 'buat', 'kalian', 'intai', 'lailatul', 'qodar', 'hari', 'tujuh', 'enam', 'lima'];1;0;1
['apabila', 'orang', 'kalian', 'baik', 'islam', 'baik', 'tulis', 'bagi', 'puluh', 'baik', 'rupa', 'hingga', 'tujuh', 'ratus', 'tingkat', 'satu', 'jelek', 'kerja', 'tulis', 'satu', 'jelek', 'rupa', 'dengan'];1;0;1
['hampir', 'jadi', 'suatu', 'zaman', 'harta', 'orang', 'muslim', 'paling', 'baik', 'kambing', 'gembala', 'puncak', 'gunung', 'tempattempat', 'pencil', 'pergi', 'hindar', 'bawa', 'agama', 'sebab', 'takut', 'kena', 'fitnah'];0;0;1
['tinggal', 'apa', 'kalian', 'sanggup', 'allah', 'allah', 'bosan', 'hingga', 'kalian', 'sendiri', 'jadi', 'bosan', 'agama', 'paling', 'cinta', 'apa', 'senantiasa', 'kerja', 'rutin', 'kontinyu'];1;1;1
['nasehat', 'muslim', 'aku', 'baiat', 'beliau', 'perkara', 'milik', 'masjid', 'sungguh', 'aku', 'selalu', 'beri', 'nasihat', 'kalian', 'kemudian', 'beristighfar', 'lalu', 'turun', 'mimbar'];1;0;1
['iman', 'allah', 'rasul', 'lalu', 'tanya', 'lalu', 'apa', 'beliau', 'jawab', 'al', 'jihad', 'fi', 'sabilillah', 'perang', 'jalan', 'allah', 'lalu', 'tanya', 'kemudian', 'apa', 'jawab', 'beliau', 'haji', 'mabrur'];0;0;1
['islam', 'bangun', 'atas', 'lima', 'landas', 'saksi', 'ilah', 'allah', 'sungguh', 'muhammad', 'utus', 'allah', 'diri', 'shalat', 'tunai', 'zakat', 'haji', 'puasa', 'ramadlan'];0;0;1
['tidak', 'kamu', 'nafkah', 'suatu', 'nafkah', 'maksud', 'harap', 'wajah', 'allah', 'kamu', 'beri', 'pahala', 'masuk', 'kamu', 'suap', 'mulut', 'istri'];0;1;1
['tahu', 'hari', 'sebut', 'tempat', 'turun', 'ayat', 'sebut', 'nabi', 'hari', 'jumat', 'beliau', 'ada', 'arafah'];0;0;1
['tidak', 'iman', 'orang', 'kalian', 'cinta', 'saudara', 'bagaimana', 'cinta', 'diri', 'sendiri'];0;0;1
['tidak', 'iman', 'orang', 'kalian', 'hingga', 'aku', 'lebih', 'cinta', 'orang', 'tua', 'anak', 'manusia', 'seluruh'];0;0;1
['barangsiapa', 'tegak', 'lailatul', 'qodar', 'iman', 'harap', 'pahala', 'ampun', 'dosadosanya', 'lalu'];1;0;1
['tandatanda', 'munafiq', 'tiga', 'bicara', 'dusta', 'janji', 'ingkar', 'beri', 'amanat', 'khianat'];0;0;1
['barangsiapa', 'tegak', 'ramadlan', 'iman', 'harap', 'pahala', 'ampun', 'dosadosanya', 'lalu'];0;0;1
['aku', 'baiat', 'rasulullah', 'tegak', 'shalat', 'tunai', 'zakat', 'nasehat', 'muslim'];1;0;1
['barangsiapa', 'puasa', 'iman', 'harap', 'pahala', 'ampun', 'dosadosanya', 'lalu'];0;0;1
['apabila', 'orang', 'beri', 'nafkah', 'keluarga', 'niat', 'harap', 'pahala', 'bagi', 'sedekah'];0;0;1
['tidak', 'iman', 'orang', 'kalian', 'hingga', 'aku', 'lebih', 'cinta', 'orang', 'tua', 'anak'];0;0;1
['kamu', 'beri', 'makan', 'ucap', 'salam', 'orang', 'kamu', 'kenal', 'kamu', 'kenal'];1;0;1
['sungguh', 'paling', 'taqwa', 'paling', 'erti', 'allah', 'antara', 'kalian', 'aku'];0;0;1
['kamu', 'beri', 'makan', 'beri', 'salam', 'orang', 'kamu', 'kenal', 'kamu', 'kenal'];0;0;1
['tanda', 'iman', 'cinta', 'kaum', 'anshar', 'tanda', 'nifaq', 'benci', 'kaum', 'anshar'];0;0;1
['iman', 'milik', 'lebih', 'enam', 'puluh', 'cabang', 'malu', 'bagi', 'iman'];0;0;1
['tinggal', 'sungguh', 'malu', 'bagi', 'iman'];0;1;1
['cerca', 'orang', 'muslim', 'fasiq', 'merang', 'kufur'];0;0;1
